frequency,v1_0,v1_1,v1_2,v1_3,v1_4,v1_5,v1_6,v1_7,v1_8,v1_9,v1_10,v1_11,v1_12,v1_13,v1_14,v1_15,v1_16,v1_17,v1_18,v1_19,v1_20,v1_21,v1_22,v1_23,v1_24,v1_25,v1_26,v1_27,v1_28,v1_29,v1_30,v1_31,v2_0,v2_1,v2_2,v2_3,v2_4,v2_5,v2_6,v2_7,v2_8,v2_9,v2_10,v2_11,v2_12,v2_13,v2_14,v2_15,v2_16,v2_17,v2_18,v2_19,v2_20,v2_21,v2_22,v2_23,v2_24,v2_25,v2_26,v2_27,v2_28,v2_29,v2_30,v2_31,class
5907640,-110.464,-94.9174,-77.4539,-92.1816,-91.9728,-87.2486,-87.4896,-87.1398,-85.9571,-87.0161,-85.9322,-86.5871,-86.1172,-86.731,-87.311,-87.6306,-84.9505,-87.1765,-89.6988,-87.2074,-86.275,-86.1082,-86.0947,-86.1928,-86.6371,-88.5972,-89.5575,-88.0656,-88.7966,-90.5793,-96.16,-107.013,16.3572,12.2986,18.5263,3.41235,5.28216,6.32193,3.35909,5.68643,5.03977,4.75024,6.35847,4.41216,4.45955,4.74173,3.43951,6.18439,3.61604,2.93936,2.68084,3.75822,4.92574,5.37766,4.38253,4.05553,6.0788,3.72199,4.92147,5.27037,4.69661,5.61106,9.69879,18.8826,ATSC
5247900,-101.73,-97.4523,-76.1276,-88.2814,-87.8505,-87.2152,-86.4339,-86.1758,-84.8843,-84.9152,-84.8522,-85.1339,-86.7386,-87.8051,-88.4791,-87.467,-87.9459,-87.8617,-88.519,-87.2595,-86.6911,-88.8762,-89.2109,-89.8213,-90.1279,-88.7289,-87.9218,-88.2275,-88.896,-89.7482,-94.1664,-94.4155,4.10979,7.31662,22.7407,4.76222,5.44188,4.75118,4.80166,4.93213,4.48448,4.18057,4.55906,4.05464,3.87763,3.77328,4.16165,4.65143,3.98867,5.73964,3.61816,4.08217,4.06946,5.66499,4.84764,4.38526,3.25826,5.66895,4.93665,4.47575,4.15689,6.14794,4.94883,7.42051,ATSC
5247900,-101.09,-96.5444,-76.1126,-87.5948,-87.12,-87.1375,-86.5952,-85.892,-84.4094,-84.4541,-84.7342,-85.3316,-86.5251,-87.2917,-88.0352,-87.5183,-87.6741,-88.4972,-87.4014,-86.7983,-86.6126,-88.1856,-89.3289,-89.8411,-89.0971,-88.9615,-88.3764,-88.302,-88.464,-89.2879,-93.171,-94.8883,4.30714,8.13098,21.3356,5.68074,4.84916,4.5748,4.76202,4.86838,4.84569,4.82989,4.53076,4.59408,4.62673,4.35546,4.0695,4.372,4.49647,4.41486,4.66027,4.65867,4.91897,5.48735,5.08127,4.51199,4.552,4.78446,4.70847,4.38329,4.28501,6.46883,6.15271,8.16842,ATSC
5810180,-108.485,-95.3657,-77.1634,-90.5817,-89.1201,-87.9677,-85.2728,-84.3424,-84.1906,-84.3229,-88.0599,-87.81,-87.7324,-89.066,-88.7659,-88.4527,-86.2938,-87.3326,-88.1122,-86.2368,-85.4899,-85.5372,-85.4447,-84.2853,-83.9875,-85.8397,-85.4171,-86.8027,-90.4957,-91.9463,-96.8535,-103.464,8.37582,12.5168,21.2563,7.68387,4.86338,5.02826,5.35354,4.67933,4.93307,5.23066,6.05415,4.68034,5.12689,6.26606,4.75436,4.76767,5.29832,5.92276,5.53419,4.69741,5.03569,4.9982,4.80365,5.40569,5.0059,4.68159,4.71717,6.21671,4.99336,6.66507,8.91826,7.6776,ATSC
5810180,-110.117,-95.2189,-78.7822,-92.2684,-90.4118,-87.6902,-86.1084,-84.7377,-83.4737,-85.7885,-88.9033,-89.6374,-88.6042,-88.9949,-89.5654,-89.1822,-86.2755,-87.1973,-89.2208,-86.7902,-85.8701,-86.7753,-84.7165,-84.3047,-85.0508,-86.2104,-85.4786,-86.7185,-91.089,-94.3236,-99.8765,-104.957,9.2522,12.3023,22.9882,11.3905,6.50657,4.53008,7.15249,4.11765,4.69582,3.62201,6.89491,6.31383,3.90411,3.95518,5.74078,4.25614,4.09455,4.84638,5.73523,4.93994,4.51344,4.31979,5.78786,4.32219,6.29406,3.5154,4.66338,6.83177,5.34989,6.31433,7.76479,6.8546,ATSC
5810180,-109.618,-94.6484,-78.3908,-91.924,-89.0494,-88.5951,-84.6684,-84.8566,-83.9046,-85.4626,-89.1536,-89.3409,-88.404,-90.1414,-91.0918,-89.5226,-86.7603,-87.5256,-88.8528,-87.2449,-85.2196,-86.7458,-85.9537,-84.729,-84.1431,-85.9801,-84.7516,-86.5558,-90.2667,-93.4785,-97.281,-105.465,9.769,14.8943,19.2889,6.32701,6.53587,4.78327,6.44589,6.62421,4.19041,5.06039,5.88975,6.6213,4.22537,6.66656,2.39136,3.72111,5.13693,6.39481,4.01153,2.3506,5.96834,5.79419,5.13712,6.06654,5.09115,4.46789,5.77167,7.5293,5.88702,4.76427,9.07755,6.25553,ATSC
5492800,-102.339,-96.0065,-77.2887,-88.0747,-87.3039,-86.7915,-89.1672,-89.4599,-89.4798,-90.0041,-89.9529,-89.0963,-88.9105,-89.7229,-88.6141,-90.7807,-89.305,-86.4863,-85.5318,-86.2446,-85.7727,-85.2434,-84.9717,-85.9693,-85.3373,-85.5868,-85.5617,-85.1105,-84.4112,-87.3785,-92.7908,-103.25,4.85292,10.0829,16.0933,5.64484,3.58341,4.67097,3.44685,4.09386,4.49796,4.05106,3.20856,5.54473,3.61725,2.62039,5.96752,3.74963,3.66589,7.3235,4.1615,6.88257,3.56299,7.61001,4.61787,4.03525,4.43011,3.14484,4.67365,4.44529,4.99265,6.31409,11.9175,2.27567,ATSC
5467810,-104.037,-96.5733,-77.997,-87.1849,-88.3683,-87.6325,-86.7099,-88.704,-90.1608,-89.251,-90.0403,-90.2642,-89.2579,-88.8303,-90.5497,-89.9139,-88.0217,-87.2721,-85.5096,-85.1608,-87.4455,-85.494,-84.3652,-86.1277,-85.6514,-85.8794,-85.8466,-85.3458,-86.8464,-87.203,-91.0322,-103.999,3.66409,11.7048,19.4883,5.42788,4.07296,4.66101,5.07864,8.4341,5.31905,6.90696,5.84559,5.06431,3.16732,4.95278,4.17265,4.08012,5.26794,5.6623,3.86752,2.76753,4.59302,5.27455,5.78125,6.2529,5.68101,5.05187,6.77917,5.17858,5.34182,6.05973,14.9043,2.86861,ATSC
5492800,-101.422,-94.9205,-77.9517,-85.9775,-88.1497,-89.0311,-88.6718,-90.3523,-88.3251,-89.7574,-90.3391,-90.0821,-89.2907,-87.9598,-90.7098,-89.4532,-87.116,-86.7634,-86.2346,-85.8919,-86.4155,-85.6554,-84.9346,-85.0442,-84.7212,-84.7273,-86.7629,-84.5179,-86.7679,-88.3302,-93.7283,-103.533,5.90173,10.6539,15.0705,5.61943,3.89339,3.61821,4.27813,5.12904,5.67892,4.80045,6.53079,4.08472,2.77392,5.23211,3.50159,3.65837,4.93215,3.16946,5.85818,4.92821,5.80432,3.656,4.96642,4.01814,5.72097,4.48444,2.56718,6.99976,3.67336,4.18052,11.2276,5.39687,ATSC
5467810,-102.895,-93.9255,-77.2272,-85.8133,-87.272,-87.7793,-89.7171,-89.3334,-89.2803,-90.2115,-89.17,-88.8827,-88.4564,-87.7932,-90.314,-88.8437,-87.2751,-87.7728,-86.3285,-85.8185,-87.5263,-85.4339,-85.5898,-86.9141,-84.1306,-86.1027,-86.2506,-86.5253,-85.9898,-87.713,-91.2212,-103.399,4.86836,11.7726,19.3944,5.3113,6.77917,3.05199,5.17136,3.75224,4.40948,5.24637,6.71689,5.83795,5.83414,5.16678,3.83095,6.1458,4.79394,3.922,5.15834,3.75962,2.87059,4.59171,5.36512,4.68111,4.85443,2.96227,3.12582,4.80177,5.25335,4.89938,15.9088,6.08968,ATSC
5467810,-103.876,-94.4336,-74.3222,-87.418,-89.4282,-90.3824,-86.4333,-85.0457,-84.669,-84.7525,-85.8538,-86.2961,-87.5299,-91.6519,-88.928,-86.0179,-85.1642,-86.0951,-86.6292,-88.062,-88.5034,-87.5016,-87.9571,-89.281,-89.3076,-88.3519,-87.8848,-90.0034,-89.5672,-91.1813,-93.2211,-99.4502,4.63841,11.9467,20.0456,4.9802,5.73171,5.32229,7.50298,4.90484,5.11879,4.71688,4.71346,4.89654,7.23845,4.62486,5.63659,6.05352,5.19092,4.66113,5.23753,5.21359,4.65768,5.3271,4.94852,4.91489,4.74521,5.24069,5.93514,4.25497,5.01935,4.92072,7.02269,7.51696,ATSC
5492800,-103.934,-94.3688,-74.3255,-87.4376,-89.3362,-90.5229,-86.6193,-85.0879,-84.563,-84.8105,-85.7498,-86.2066,-87.7632,-91.6404,-89.2026,-86.3951,-85.3983,-85.8694,-86.63,-88.1258,-88.493,-87.2633,-87.8436,-89.4075,-89.3988,-88.3402,-88.1027,-89.5051,-89.4313,-90.7701,-93.0883,-99.3262,4.57131,12.5405,20.2829,5.11635,5.79321,5.04807,6.75433,4.82186,5.05125,4.97083,4.8649,4.77744,7.02697,4.81101,5.67865,5.55997,4.89644,4.82615,4.94125,4.98446,4.66195,5.1645,5.20624,4.8902,4.71925,5.19394,5.15754,4.88286,5.17959,5.17005,6.66619,8.18553,ATSC
5762690,-108.049,-94.0108,-77.0804,-90.6104,-92.2466,-90.104,-88.6076,-85.4082,-84.2825,-84.2802,-83.204,-84.3394,-84.1178,-84.0979,-85.9866,-86.5708,-88.4724,-93.2999,-94.148,-89.8773,-86.0566,-87.3641,-86.2261,-85.3264,-87.904,-86.8141,-87.2658,-88.7634,-90.6119,-96.9267,-98.4706,-104.003,7.48978,11.9552,18.9936,6.41974,8.84004,5.08847,5.21256,6.05524,4.5365,4.96723,4.44144,4.99643,4.89862,4.52577,4.74072,4.83643,6.15981,11.2444,7.15557,9.09689,5.66993,4.67847,5.46551,4.78698,6.3685,6.08669,5.19306,4.95415,7.41567,7.39913,6.65522,9.75101,ATSC
5762690,-107.043,-94.0397,-79.3058,-90.382,-91.2834,-89.5927,-89.163,-87.1585,-86.5596,-86.2622,-85.6313,-86.3094,-86.0109,-85.5065,-87.1035,-87.3521,-88.2441,-90.9472,-91.5166,-88.3441,-86.4504,-86.7745,-86.1733,-85.5441,-87.1994,-86.773,-87.0779,-88.061,-89.5973,-93.9712,-96.6312,-103.225,6.32239,12.6405,17.3531,5.81848,7.76584,5.29666,5.03287,5.49892,4.78073,4.71909,4.61654,4.77105,4.68481,4.85123,4.57755,4.99431,5.81578,9.05188,6.26526,7.68619,4.76987,5.00902,4.87934,4.77937,5.99598,5.07583,4.72863,5.04308,6.62606,6.75435,8.4665,8.26603,ATSC
5957620,-108.238,-97.2469,-80.0649,-92.1308,-89.9501,-88.9275,-88.0369,-86.3323,-86.7656,-85.3236,-86.5539,-87.3631,-86.6868,-87.6052,-87.0334,-86.73,-88.4439,-89.4661,-90.7064,-90.2589,-88.5741,-90.6573,-87.9558,-88.0442,-86.7074,-86.3659,-87.0405,-85.6898,-85.4591,-89.8679,-92.8589,-104.71,5.44543,13.6356,20.5706,5.18039,9.08196,5.44437,4.371,6.0211,5.03492,4.7902,3.50479,4.65442,5.04472,7.01683,3.88255,4.41407,6.79299,11.8946,7.5696,9.85809,2.48586,7.25481,4.89302,4.42783,9.57346,4.04501,3.52708,2.64919,9.10807,7.28468,8.06947,8.38497,ATSC
5957620,-106.462,-95.8126,-79.0594,-91.4221,-91.5111,-89.3778,-87.2687,-86.2133,-86.3356,-86.8357,-84.8632,-87.0906,-87.569,-86.8258,-85.5095,-85.9049,-87.9706,-89.5436,-90.343,-89.2558,-89.6002,-90.9187,-88.955,-86.6557,-86.599,-85.1282,-86.0315,-85.7341,-85.0795,-90.5777,-94.6693,-105.751,5.25189,6.49131,7.87108,8.33252,4.94524,3.23485,4.26338,4.1769,4.8873,4.10851,4.65306,4.72014,3.36112,4.54625,5.01817,4.31374,3.96554,3.27532,6.31187,3.43585,5.33622,4.7783,6.52554,5.16285,6.67068,3.94965,3.69908,5.04775,6.30907,5.72711,3.97772,11.7496,ATSC
5957620,-108.245,-96.7538,-79.6023,-91.4874,-90.8786,-88.7184,-87.406,-86.1308,-86.2053,-86.1517,-85.8147,-86.3668,-85.5653,-86.6296,-86.0201,-85.8803,-86.9379,-89.1205,-90.241,-90.096,-89.6904,-91.3838,-88.3341,-86.9769,-86.4089,-85.5998,-85.3037,-85.1768,-85.8563,-89.0227,-92.1853,-106.626,17.1579,10.8075,17.4122,4.92404,5.73428,4.84649,5.14642,4.72609,4.67695,4.74152,4.78829,4.66211,4.76176,4.65896,4.60813,4.60883,5.26033,4.78527,4.68762,4.64684,4.64294,4.73894,5.89595,4.69529,4.70119,4.63217,4.5804,4.74495,5.30591,5.82927,12.6525,17.3947,ATSC
5932630,-109.199,-96.6609,-79.2278,-90.493,-89.9532,-89.1457,-88.0459,-86.4517,-86.947,-86.7122,-85.7611,-84.176,-83.4753,-86.7517,-85.7246,-86.0711,-86.2068,-88.9282,-89.6979,-90.8254,-89.8357,-91.8599,-88.7727,-86.1111,-85.4697,-86.1312,-84.7717,-85.1386,-84.2432,-86.7905,-91.4213,-106.128,12.9258,10.2061,17.212,4.62837,5.1123,5.08901,4.40519,4.05395,4.46014,5.20857,4.99957,3.59781,5.96027,2.56198,9.70618,3.35679,7.48254,2.91599,6.31906,6.67099,5.02625,5.48579,5.11344,7.94909,4.00729,3.80819,5.27287,4.75761,7.17287,3.1504,10.2466,19.4375,ATSC
5932630,-108.414,-96.3426,-78.7739,-91.0478,-89.9962,-88.0306,-86.6931,-85.3319,-85.4643,-85.4236,-84.9622,-85.6058,-84.6865,-85.8332,-85.4565,-85.4655,-86.0999,-88.4157,-89.5228,-89.2791,-89.3495,-90.7229,-87.9675,-86.549,-85.8855,-85.1403,-84.7597,-84.7262,-85.1623,-88.4026,-91.8191,-104.762,15.2079,11.0185,18.01,4.85491,5.61935,4.92052,4.99304,4.67185,4.66869,4.53146,4.74752,4.61446,4.88195,4.76185,4.61662,4.63593,5.11833,4.77418,4.74583,4.69928,4.65081,4.8916,5.81152,4.65113,4.758,4.69661,4.56036,4.65077,5.17813,5.4692,11.8328,17.2279,ATSC
5785180,-110.804,-93.5747,-77.1958,-89.2387,-93.7937,-89.7275,-90.2029,-85.6076,-84.9626,-84.3195,-84.8065,-84.1995,-84.9477,-82.6332,-86.1814,-85.9054,-89.4939,-94.6682,-94.9586,-88.8465,-86.6323,-87.3182,-86.2236,-84.1839,-86.3388,-87.7392,-87.2704,-88.4804,-92.3717,-97.1442,-100.093,-105.465,6.35297,16.7644,18.7974,8.93645,10.3931,5.87703,5.84496,4.77742,2.91869,4.22843,3.60954,6.88344,2.77216,5.36037,4.32796,4.96667,4.44843,9.20636,4.54243,11.2082,5.24104,5.27555,4.26008,6.58613,9.95349,4.88997,6.11108,4.16383,6.06945,5.75882,3.87936,10.0669,ATSC
5785180,-110.297,-94.4981,-77.4116,-90.0799,-92.9889,-90.7329,-88.8441,-85.7234,-84.4711,-84.2277,-83.2481,-84.7091,-84.6801,-83.9823,-86.328,-86.7216,-88.6136,-93.3115,-93.3706,-88.7803,-86.2912,-87.0557,-86.3009,-85.254,-87.8072,-87.3391,-87.7123,-89.0561,-91.1929,-97.2793,-98.5697,-106.077,5.90736,13.9792,19.7843,6.91521,9.85394,5.10034,5.58124,5.63839,4.79878,4.76797,4.66186,4.84422,4.67209,4.91132,4.76092,5.23758,6.64569,11.7657,8.71879,9.41861,4.85651,5.0455,4.96436,4.8518,6.62546,5.35786,4.78799,4.95372,7.23388,7.25186,6.73073,10.1293,ATSC
5785180,-110.282,-94.919,-76.6028,-89.8055,-91.9366,-90.4753,-89.2395,-84.7958,-85.081,-84.8963,-83.925,-84.3332,-83.5748,-82.7679,-87.1988,-86.9007,-88.0804,-93.4985,-92.2827,-88.096,-85.3883,-86.6494,-86.3142,-85.2486,-86.6501,-88.2304,-87.8031,-88.7305,-91.4427,-95.8104,-99.1583,-105.372,6.61004,13.6059,22.8612,6.6366,11.1687,5.32632,5.41518,7.61993,3.71121,3.34842,2.25629,3.50639,5.64334,4.93514,4.44608,5.18513,6.10849,13.6259,8.14516,10.1971,4.93418,4.74291,5.5391,4.83698,11.7497,3.91745,4.65667,6.15231,5.33799,8.50851,5.96468,10.1902,ATSC
5542780,-103.836,-90.4644,-79.3332,-88.3636,-88.2958,-88.5282,-89.0678,-89.3893,-89.7234,-89.8134,-89.8313,-89.2747,-88.4427,-88.423,-89.1415,-89.0777,-87.6224,-86.4726,-86.083,-85.9309,-86.0072,-85.5613,-85.439,-85.4274,-85.5308,-85.4581,-85.7277,-85.4331,-85.9216,-87.6189,-93.5662,-104.786,4.63945,15.2543,14.518,4.64666,4.66978,4.5999,4.66513,4.666,4.59883,4.66866,4.71507,4.82399,4.65038,4.72445,4.60415,4.61412,4.89723,4.71216,4.52426,4.45958,4.60715,4.60288,4.60403,4.61182,4.68555,4.56429,4.59202,4.65841,4.63462,6.86759,14.0009,4.78085,ATSC
5565270,-105.126,-91.6464,-78.2254,-88.153,-88.1577,-88.4157,-88.9722,-89.3963,-89.7714,-89.9079,-89.9831,-89.4885,-88.5931,-88.6654,-89.4556,-89.4172,-87.8973,-86.6736,-86.2406,-86.0913,-86.1963,-85.6969,-85.6103,-85.6178,-85.736,-85.6408,-85.9141,-85.6325,-86.0822,-87.6593,-93.6094,-105.442,4.64003,15.1969,15.4973,4.64597,4.60612,4.6047,4.71513,4.64997,4.65453,4.72837,4.76555,4.82665,4.6403,4.72968,4.5644,4.63156,4.90021,4.68248,4.58308,4.52424,4.58954,4.62455,4.53661,4.56738,4.6241,4.55543,4.67327,4.64274,4.59626,6.96438,14.5976,4.69204,ATSC
5565270,-107.073,-93.6345,-77.8852,-87.5167,-87.5719,-88.5515,-88.0845,-88.9809,-89.9825,-89.8842,-89.5684,-89.1022,-88.9518,-89.6302,-90.3616,-90.3172,-87.7767,-87.0639,-86.786,-85.7628,-87.1716,-85.745,-84.6231,-85.0431,-85.1836,-85.4527,-86.5948,-84.6585,-85.2583,-85.9596,-94.6368,-104.619,4.52054,17.4174,16.0215,4.67161,4.71237,4.59782,4.69514,4.61055,4.67862,4.71783,4.87374,4.87086,4.69293,4.73032,4.65065,4.63187,4.90248,4.67186,4.53908,4.50381,4.63461,4.69889,4.48801,4.53308,4.6326,4.51648,4.71558,4.6749,4.59362,7.06681,14.978,4.57227,ATSC
5420330,-103.699,-95.6668,-75.9291,-87.6216,-87.7215,-87.2998,-86.5818,-85.0417,-84.3746,-84.7595,-84.997,-85.853,-86.9,-87.3369,-88.0852,-87.5017,-88.1334,-88.0437,-87.6865,-86.6102,-87.3574,-88.6656,-89.763,-89.6533,-89.5048,-88.871,-88.2629,-88.6081,-88.5867,-90.2494,-95.6703,-97.2697,4.39584,10.8831,20.1733,4.95039,4.69557,4.23794,4.64196,5.64149,4.44682,4.39905,4.04703,4.68356,4.21973,4.56324,4.51876,4.77772,4.68094,4.75179,4.66869,4.96058,5.01858,5.28614,4.5715,4.7074,4.28988,4.80528,4.6905,4.38499,4.62804,6.65224,6.09102,8.10034,ATSC
5395340,-103.755,-96.156,-76.1524,-88.0165,-86.7501,-86.4803,-86.2313,-84.7773,-84.6284,-84.4106,-84.7264,-84.98,-86.7594,-87.4674,-88.2327,-86.7015,-88.6025,-89.7771,-87.6388,-86.1658,-86.5757,-88.9835,-89.4738,-90.1796,-89.2404,-89.1156,-87.4714,-87.9438,-88.2795,-90.0926,-95.3594,-95.7789,4.90022,9.5584,19.7531,3.99212,6.08849,3.79203,5.67931,6.39162,5.22868,5.08363,3.74659,4.64191,5.98513,4.25276,5.32706,4.82124,4.08033,3.23948,3.74925,5.2809,6.11616,4.18713,4.59525,4.83869,4.03234,4.21839,5.77652,4.86282,4.83346,6.72485,5.05771,10.2076,ATSC
